SCHOOL,SCHOOL NAME,ATTD DATE,%ATTD
ALL,ALL,5/27/2022 12:00:00 AM,82.21
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,5/27/2022 12:00:00 AM,78.98
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,5/27/2022 12:00:00 AM,68.03
17K548,BROOKLYN SCHOOL FOR MUSIC   THEATRE,5/27/2022 12:00:00 AM,61.81
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,5/27/2022 12:00:00 AM,NS
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,5/27/2022 12:00:00 AM,86.20
17K600,CLARA BARTON HIGH SCHOOL,5/27/2022 12:00:00 AM,68.08
17K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,5/27/2022 12:00:00 AM,37.03
17K705,BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,5/27/2022 12:00:00 AM,83.78
17K722,NEW HEIGHTS MIDDLE SCHOOL,5/27/2022 12:00:00 AM,89.67
17K745,BROOKLYN INSTITUTE FOR LIBERAL ARTS,5/27/2022 12:00:00 AM,84.37
17K751,ACADEMY FOR HEALTH CAREERS,5/27/2022 12:00:00 AM,58.75
17K770,P.S. 770 NEW AMERICAN ACADEMY,5/27/2022 12:00:00 AM,83.58
18K066,P.S. 66,5/27/2022 12:00:00 AM,85.57
18K068,I.S. 068 ISAAC BILDERSEE,5/27/2022 12:00:00 AM,71.17
18K114,P.S. 114 RYDER ELEMENTARY,5/27/2022 12:00:00 AM,85.26
18K115,P.S. 115 DANIEL MUCATEL SCHOOL,5/27/2022 12:00:00 AM,89.84
18K135,P.S. 135 SHELDON A. BROOKNER,5/27/2022 12:00:00 AM,89.10
18K208,P.S. 208 ELSA EBELING,5/27/2022 12:00:00 AM,93.35
18K211,I.S. 211 JOHN WILSON,5/27/2022 12:00:00 AM,86.11
18K219,P.S. 219 KENNEDY KING,5/27/2022 12:00:00 AM,84.74
18K233,P.S. 233 LANGSTON HUGHES,5/27/2022 12:00:00 AM,86.85
18K235,P.S. 235 JANICE MARIE KNIGHT SCHOOL,5/27/2022 12:00:00 AM,83.94
18K244,P.S. 244 RICHARD R. GREEN,5/27/2022 12:00:00 AM,87.66
18K268,P.S. 268 EMMA LAZARUS,5/27/2022 12:00:00 AM,81.32
18K272,P.S. 272 CURTIS ESTABROOK,5/27/2022 12:00:00 AM,80.99
18K276,P.S. 276 LOUIS MARSHALL,5/27/2022 12:00:00 AM,85.12
18K279,P.S. 279 HERMAN SCHREIBER,5/27/2022 12:00:00 AM,89.13
18K285,I.S. 285 MEYER LEVIN,5/27/2022 12:00:00 AM,70.03
18K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,5/27/2022 12:00:00 AM,88.85
18K563,IT TAKES A VILLAGE ACADEMY,5/27/2022 12:00:00 AM,76.12
18K566,BROOKLYN COMMUNITY HIGH SCHOOL FOR EXCELLENCE AND,5/27/2022 12:00:00 AM,68.82
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,5/27/2022 12:00:00 AM,63.52
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,5/27/2022 12:00:00 AM,71.79
18K576,VICTORY COLLEGIATE HIGH SCHOOL,5/27/2022 12:00:00 AM,76.69
18K578,BROOKLYN BRIDGE ACADEMY,5/27/2022 12:00:00 AM,43.05
18K581,"THE MIDDLE SCHOOL OF MEDIA, LAW AND FINE ARTS",5/27/2022 12:00:00 AM,90.47
18K588,MIDDLE SCHOOL FOR ART AND PHILOSOPHY,5/27/2022 12:00:00 AM,89.10
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDI,5/27/2022 12:00:00 AM,77.77
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,5/27/2022 12:00:00 AM,70.28
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,5/27/2022 12:00:00 AM,66.19
18K635,OLYMPUS ACADEMY,5/27/2022 12:00:00 AM,43.06
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,5/27/2022 12:00:00 AM,67.55
18K642,URBAN ACTION ACADEMY,5/27/2022 12:00:00 AM,61.31
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,5/27/2022 12:00:00 AM,22.69
18K763,BROOKLYN SCIENCE AND ENGINEERING ACADEMY,5/27/2022 12:00:00 AM,88.56
19K007,P.S. 007 ABRAHAM LINCOLN,5/27/2022 12:00:00 AM,91.99
19K013,P.S. 013 ROBERTO CLEMENTE,5/27/2022 12:00:00 AM,90.05
19K065,P.S. 065,5/27/2022 12:00:00 AM,90.04
19K089,P.S. 089 CYPRESS HILLS,5/27/2022 12:00:00 AM,90.82
19K108,P.S. 108 SAL ABBRACCIAMENTO,5/27/2022 12:00:00 AM,89.61
19K149,P.S. 149 DANNY KAYE,5/27/2022 12:00:00 AM,87.18
19K158,P.S. 158 WARWICK,5/27/2022 12:00:00 AM,86.94
19K159,P.S. 159 ISAAC PITKIN,5/27/2022 12:00:00 AM,85.80
19K171,I.S. 171 ABRAHAM LINCOLN,5/27/2022 12:00:00 AM,92.55
19K190,P.S. 190 SHEFFIELD,5/27/2022 12:00:00 AM,82.57
19K202,P.S. 202 ERNEST S. JENKYNS,5/27/2022 12:00:00 AM,80.93
19K213,P.S. 213 NEW LOTS,5/27/2022 12:00:00 AM,80.80
19K214,P.S. 214 MICHAEL FRIEDSAM,5/27/2022 12:00:00 AM,90.82
19K218,J.H.S. 218 JAMES P. SINNOTT,5/27/2022 12:00:00 AM,73.76
19K224,P.S. 224 HALE A. WOODRUFF,5/27/2022 12:00:00 AM,77.55
19K273,P.S. 273 WORTMAN,5/27/2022 12:00:00 AM,83.76
19K290,P.S. 290 JUAN MOREL CAMPOS,5/27/2022 12:00:00 AM,88.06
19K292,J.H.S. 292 MARGARET S. DOUGLAS,5/27/2022 12:00:00 AM,79.07
19K306,P.S. 306 ETHAN ALLEN,5/27/2022 12:00:00 AM,77.73
19K325,THE FRESH CREEK SCHOOL,5/27/2022 12:00:00 AM,75.15
19K328,P.S. 328 PHYLLIS WHEATLEY,5/27/2022 12:00:00 AM,76.31
19K345,P.S. 345 PATROLMAN ROBERT BOLDEN,5/27/2022 12:00:00 AM,81.16
19K346,P.S. 346 ABE STARK,5/27/2022 12:00:00 AM,75.95
19K364,I.S. 364 GATEWAY,5/27/2022 12:00:00 AM,80.55
19K404,ACADEMY FOR YOUNG WRITERS,5/27/2022 12:00:00 AM,67.52
19K409,EAST NEW YORK FAMILY ACADEMY,5/27/2022 12:00:00 AM,78.09
19K422,SPRING CREEK COMMUNITY SCHOOL,5/27/2022 12:00:00 AM,76.89
19K452,FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL,5/27/2022 12:00:00 AM,83.25
19K502,FDNY   CAPTAIN VERNON A. RICHARD HIGH SCHOOL FOR F,5/27/2022 12:00:00 AM,72.12
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,5/27/2022 12:00:00 AM,63.39
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,5/27/2022 12:00:00 AM,73.44
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHO,5/27/2022 12:00:00 AM,82.85
19K557,BROOKLYN GARDENS ELEMENTARY SCHOOL,5/27/2022 12:00:00 AM,75.80
19K583,MULTICULTURAL HIGH SCHOOL,5/27/2022 12:00:00 AM,85.54
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH S,5/27/2022 12:00:00 AM,NS
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,5/27/2022 12:00:00 AM,75.43
19K639,BROOKLYN LAB SCHOOL,5/27/2022 12:00:00 AM,67.59
19K654,VAN SICLEN COMMUNITY MIDDLE SCHOOL,5/27/2022 12:00:00 AM,81.52
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,5/27/2022 12:00:00 AM,65.45
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH,5/27/2022 12:00:00 AM,59.45
19K661,VISTA ACADEMY,5/27/2022 12:00:00 AM,83.99
